"cond" "Scond" "sub" "item" "lag" "resp"
0 1 16 0 131.728195860763 2
0 0 27 0 0 2
0 1 4 0 6.72819586076332 5
0 1 76 0 -65.2718041392367 1
0 0 61 0 0 2
0 1 36 0 -7.27180413923668 5
0 1 75 0 203.728195860763 5
0 0 35 0 0 1
0 1 67 0 -106.271804139237 5
0 1 7 0 -38.2718041392367 5
0 0 18 0 0 0
0 0 53 0 0 2
0 0 42 0 0 1
0 1 6 0 -209.271804139237 3
0 1 40 0 233.728195860763 5
0 1 85 0 -266.271804139237 5
0 0 52 0 0 0
0 1 3 0 6.72819586076332 2
0 1 13 0 3.72819586076332 5
0 1 66 0 -30.2718041392367 5
0 0 39 0 0 0
0 0 81 0 0 0
0 0 23 0 0 1
0 0 65 0 0 1
0 0 57 0 0 1
0 0 43 0 0 0
0 0 68 0 0 0
0 1 86 0 54.7281958607633 5
0 0 28 0 0 5
0 0 51 0 0 2
0 0 74 0 0 1
0 0 2 0 0 4
0 1 83 0 55.7281958607633 5
0 0 94 0 0 0
0 1 64 0 169.728195860763 4
0 0 45 0 0 0
0 0 92 0 0 1
0 1 21 0 -147.271804139237 2
0 0 47 0 0 2
0 1 30 0 -28.2718041392367 4
0 0 56 0 0 0
0 0 80 0 0 4
0 1 0 0 -304.271804139237 5
0 1 5 0 -24.2718041392367 5
0 0 46 0 0 0
0 1 54 0 1.72819586076332 5
0 0 69 0 0 4
0 1 70 0 5.72819586076332 0
0 1 72 0 -223.271804139237 2
0 1 33 0 163.728195860763 5
0 0 1 0 0 5
0 0 87 0 0 1
0 1 12 0 95.7281958607633 5
0 1 49 0 91.7281958607633 5
0 0 44 0 0 1
0 1 73 0 -70.2718041392367 5
0 0 26 0 0 1
0 1 41 0 103.728195860763 5
0 0 9 0 0 4
0 1 14 0 -110.271804139237 4
0 1 37 0 -316.271804139237 5
0 1 63 0 -196.271804139237 3
0 1 31 0 85.7281958607633 1
0 0 89 0 0 0
0 0 25 0 0 0
0 0 71 0 0 1
0 0 78 0 0 0
0 0 88 0 0 1
0 1 60 0 113.728195860763 0
0 0 93 0 0 0
0 0 8 0 0 0
0 1 29 0 92.7281958607633 2
0 0 24 0 0 1
0 0 58 0 0 0
0 0 55 0 0 5
0 1 84 0 3.72819586076332 5
0 1 77 0 -117.271804139237 5
0 1 91 0 -73.2718041392367 5
0 0 82 0 0 1
0 1 48 0 -60.2718041392367 5
0 0 11 0 0 0
0 1 79 0 -19.2718041392367 5
0 0 50 0 0 4
0 1 20 0 -145.271804139237 5
0 0 62 0 0 1
0 0 59 0 0 0
0 0 90 0 0 1
0 0 19 0 0 5
0 1 34 0 -309.271804139237 5
0 0 17 0 0 1
0 0 22 0 0 0
0 0 15 0 0 1
0 0 38 0 0 0
0 1 10 0 84.7281958607633 1
0 0 32 0 0 0
0 1 18 1 -17.2718041392367 1
0 1 53 1 -161.271804139237 4
0 1 35 1 -196.271804139237 5
0 0 25 1 0 1
0 0 34 1 0 3
0 0 16 1 0 3
0 1 88 1 -31.2718041392367 4
0 1 27 1 -84.2718041392367 2
0 1 29 1 143.728195860763 5
0 1 0 1 -132.271804139237 3
0 1 66 1 117.728195860763 0
0 0 64 1 0 1
